taxonomy,sample38,sample97,sample46,sample211,sample68,sample128,sample6,sample149,sample120,sample173,sample175,sample170,sample61,sample209,sample199,sample50,sample13,sample56,sample70,sample12,sample78,sample119,sample135,sample144,sample145,sample148,sample16,sample180,sample174,sample101,sample210,sample190,sample195,sample139,sample218,sample155,sample102,sample33,sample104,sample77,sample115,sample138,sample163,sample224,sample140,sample40,sample18,sample103,sample184,sample217,sample160,sample3,sample100,sample161,sample28,sample43,sample151,sample168,sample106,sample121,sample194,sample94,sample32,sample23,sample96,sample90,sample146,sample88,sample65,sample189,sample204,sample87,sample176,sample53,sample123,sample20,sample142,sample131,sample159,sample164,sample166,sample202,sample107,sample162,sample82,sample92,sample93,sample185,sample201,sample207,sample59,sample37,sample213,sample152,sample216,sample14,sample110,sample129,sample98,sample203,sample84,sample11,sample108,sample74,sample41,sample91,sample133,sample39,sample86,sample71,sample116,sample48,sample132,sample158,sample212,sample117,sample220,sample179,sample4,sample69,sample125,sample169,sample10,sample214,sample127,sample114,sample172,sample171,sample112,sample35,sample192,sample109,sample165,sample188,sample1,sample49,sample137,sample19,sample22,sample76,sample193,sample30,sample47,sample42,sample25,sample99,sample122,sample223,sample143,sample208,sample44,sample167,sample7,sample34,sample124,sample62,sample27,sample153,sample197,sample177,sample83,sample150,sample80,sample17,sample63,sample73,sample183,sample58,sample79,sample64,sample111,sample89,sample36,sample66,sample206,sample0,sample67,sample75,sample31,sample118,sample147,sample54,sample8,sample221,sample113,sample45,sample15,sample52,sample219,sample60,sample222,sample85,sample51,sample182,sample186,sample187,sample130,sample24,sample105,sample134,sample2,sample57,sample55,sample156,sample198,sample136,sample9,sample81,sample205,sample154,sample21,sample29,sample72,sample178,sample26,sample126,sample157,sample215,sample181,sample95,sample196,sample141,sample191,sample200,sample5
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans,6,1,13,14,1,3,2,423,676,35,129,42,10,169,1,106,178,2,265,20,3,110,16,64,801,267,212,333,100,7,9,38,248,40,111,42,0,0,174,93,288,3,25,0,5,4,23,8,3,17,4,7,18,19,1,0,2,160,15,266,12,2,0,2,0,154,10,0,12,60,16,7,33,16,513,8,486,1,168,83,157,20,875,13,0,81,0,216,22,54,2,4,1,890,6,25,10,26,1,74,0,74,778,1,0,15,381,4,0,46,52,1205,110,162,12,29,12,221,334,13,0,110,297,14,2,1,88,35,454,0,708,6,150,59,77,528,36,0,18,20,4,0,45,0,0,8,550,535,24,50,0,111,243,0,54,0,4,392,1963,53,0,5,22,9,3,33,27,0,52,0,330,0,0,0,1232,179,4,23,1,63,51,0,214,235,34,34,21,3,70,230,315,0,1,4,29,118,1,1,498,264,0,0,0,287,245,39,396,0,633,60,0,3,9,217,6,630,149,28,126,31,95,32,66,309,46
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;flavithermus,102,0,1,3,92,1,0,0,0,0,0,0,6,2,0,0,2,7,18,0,19,7,29,1,0,0,0,0,0,245,0,0,0,1626,0,0,388,126,0,0,0,690,0,0,0,94,118,0,0,0,0,0,1,0,725,5,15,0,0,0,0,1,28,0,21,0,0,0,9,0,0,0,0,28,0,80,0,6,0,0,0,0,0,0,0,846,123,0,0,0,12,219,0,0,0,0,129,117,0,0,0,0,0,24,236,52,57,289,0,0,0,1,123,0,2,0,0,0,0,89,0,0,1,0,0,142,0,0,0,222,0,80,0,0,0,0,3,70,56,9,0,51,0,16,8,53,0,0,0,0,0,0,0,0,0,49,515,28,0,0,0,8,64,75,58,238,0,0,1672,72,0,1,602,57,0,0,2839,34,8,16,0,459,0,0,66,0,0,106,0,0,0,13,0,0,0,0,71,79,0,51,0,29,565,0,0,165,35,0,0,0,159,437,13,0,509,0,0,0,0,0,0,2,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;acidovorans,0,1,0,6,0,2,3,1,215,19,0,1,0,4,0,5,3,0,1,4,0,3,39,3,272,30,6,13,80,1,3,0,130,21,27,0,0,1,72,5,28,0,40,0,0,0,0,0,1,2,0,8,2,8,0,0,0,1,44,56,1,1,0,0,0,89,4,0,2,3,22,1,1,0,256,0,0,0,13,0,106,0,15,0,0,7,0,23,15,6,1,0,0,0,0,5,5,38,1,0,0,4,23,0,0,2,240,2,1,10,25,65,5,59,4,0,2,7,16,1,0,10,67,0,0,1,0,0,198,0,405,1,0,1,21,184,0,0,0,5,0,0,0,0,0,1,122,136,10,109,0,0,57,0,1,0,0,11,253,15,0,1,0,0,0,0,5,1,13,0,117,0,0,0,154,28,1,1,3,7,0,0,35,66,14,3,7,0,17,71,103,0,0,0,12,42,0,1,320,0,0,0,2,1,33,20,183,0,163,0,0,0,1,117,0,94,0,2,100,4,17,8,9,195,7
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;flavithermus,22,0,5,0,35,0,0,0,0,1,0,0,4,0,0,0,0,1,3,0,5,0,0,0,0,1,0,0,0,49,0,1,0,460,0,0,84,63,0,0,0,211,0,0,0,58,32,0,0,0,3,0,4,0,210,0,3,0,0,0,0,0,21,0,9,0,0,0,3,8,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,318,36,0,4,0,2,71,0,0,0,0,12,21,0,0,0,0,0,5,146,17,21,181,0,3,0,0,35,0,0,0,0,0,0,49,0,0,0,0,0,98,0,0,0,70,0,31,0,0,0,0,0,34,37,2,0,26,1,5,0,9,0,0,0,0,0,0,0,0,0,12,283,0,0,1,0,3,10,57,13,17,0,0,598,16,0,0,127,42,0,0,862,18,1,20,0,82,0,0,32,0,0,39,0,0,0,4,0,1,0,0,10,38,0,32,0,12,160,0,0,47,0,0,0,0,46,166,7,2,191,0,0,0,0,0,0,0,8,0,0
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes,0,1,5,0,0,0,2,19,95,1,0,4,0,1,0,49,6,0,1,33,0,5,7,66,21,192,28,0,0,3,4,0,30,0,0,5,4,0,6,0,10,0,0,0,4,1,2,6,0,0,27,4,15,0,1,0,0,2,75,12,0,0,0,0,1,11,1,0,0,0,0,0,1,17,23,0,1,0,7,0,0,14,594,34,0,0,0,0,0,0,0,5,0,57,0,8,4,0,0,0,0,19,0,3,4,2,0,19,0,2,70,256,0,4,0,0,0,65,28,0,1,7,57,0,2,6,0,18,189,2,7,102,25,0,17,222,11,7,2,0,0,1,19,3,0,0,374,0,0,0,0,2,55,0,53,0,2,32,0,0,0,0,2,8,0,5,0,0,3,0,132,0,2,0,17,42,0,0,1,0,0,1,129,1,16,3,2,3,0,0,6,3,0,0,0,6,0,1,134,0,0,0,0,38,0,23,87,0,0,0,6,2,1,0,0,24,5,0,0,4,9,26,33,0,22
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ochrobactrum;pseudogrignonense,0,1,0,1,0,0,2,36,209,0,31,40,1,2,12,23,15,0,23,17,0,5,26,20,7,97,4,12,0,0,5,0,22,20,0,9,0,0,70,0,202,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,12,2,0,0,0,0,18,38,0,0,0,0,0,7,2,20,0,22,0,1,98,9,1,91,8,0,12,0,2,2,6,0,0,0,102,0,0,2,0,0,11,0,0,27,0,0,0,0,0,0,0,93,179,2,28,0,6,0,2,2,3,0,0,30,5,3,22,10,0,20,0,23,0,9,101,7,54,46,0,0,0,0,0,0,0,0,0,34,147,37,14,0,13,32,0,13,1,0,60,157,1,0,1,1,0,0,1,2,0,7,0,300,0,0,0,38,8,0,25,0,0,10,4,1,74,11,0,1,0,0,16,95,0,0,0,2,9,0,0,28,46,0,0,0,0,0,4,66,0,0,3,0,0,2,16,0,2,4,1,136,8,0,9,17,0,1
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anaerobacillus;NA,0,1,0,4,0,0,0,176,107,0,0,0,1,6,0,0,0,2,16,0,0,14,4,89,119,15,0,0,0,1,2,0,0,0,1,0,0,0,3,2,81,2,0,0,1,0,0,1,0,3,0,0,1,0,0,0,0,0,36,13,0,0,0,0,0,77,6,0,0,0,0,0,0,1,14,0,26,0,0,0,0,0,58,0,0,7,0,0,0,3,0,0,1,198,1,0,1,35,0,0,0,0,476,1,0,5,19,0,0,25,80,0,11,0,0,0,9,0,0,0,2,0,0,9,0,7,0,0,114,0,0,5,0,0,0,0,29,0,0,1,0,0,0,0,0,1,272,30,40,3,0,0,0,0,37,0,0,233,0,0,0,0,1,0,3,7,0,0,3,0,79,0,0,0,101,0,0,4,0,5,1,0,0,85,20,0,0,0,2,37,47,0,0,0,0,0,1,0,14,2,0,0,0,0,0,7,0,0,16,0,0,0,2,0,0,228,0,0,0,14,0,4,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;sanguinis,0,4,0,0,0,15,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,1,142,0,0,0,0,0,3,516,14,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,4,1,0,0,0,1688,0,0,0,0,0,0,0,0,68,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,650,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,2,0,0,0,0,1,0,70,0,0,0,3,0,15,0,0,8,0,0,0,6,0,0,3,0,0,2,0,0,0,0,0,4,18,8,0,1,0,0,0,0,2,0,296,0,0,0,5,0,0,6,0,0,0,0,0,0,1,0,339,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anaerobacillus;NA,0,0,0,0,0,0,0,153,49,2,4,44,1,8,1,23,2,0,3,0,0,17,38,15,80,39,8,178,5,0,21,0,0,0,0,10,0,0,4,2,136,2,13,0,0,0,0,3,0,1,0,0,2,1,0,0,1,6,22,27,1,0,0,0,1,0,8,0,0,8,20,0,6,0,33,0,43,0,0,22,2,0,132,10,0,6,0,0,0,0,0,0,1,41,2,0,6,8,0,7,0,0,149,0,0,2,17,0,0,2,57,75,19,25,0,0,6,36,4,15,0,1,56,14,0,0,1,17,21,0,27,8,23,0,1,57,21,0,0,0,1,0,0,0,0,0,102,159,31,37,0,15,12,0,0,0,0,162,365,9,0,1,0,0,0,0,31,1,0,0,4,0,0,0,2,2,0,1,0,0,0,4,12,3,2,0,1,0,12,2,5,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,93,0,27,0,0,0,1,108,0,32,2,0,0,5,20,3,25,0,1
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;NA,86,0,0,1,3,0,0,0,0,0,0,0,15,46,7,0,0,81,5,0,5,12,43,0,0,0,0,0,0,172,0,11,0,249,0,0,178,25,0,14,0,25,0,0,0,60,6,0,0,0,0,0,22,0,31,0,3,0,0,0,0,0,92,0,7,0,0,0,0,0,0,0,0,44,0,5,0,108,0,0,0,0,0,0,0,6,2,0,7,0,25,16,0,0,0,0,9,2,0,0,0,0,0,4,99,12,3,48,0,0,0,0,35,0,0,0,0,0,0,147,0,0,0,2,0,17,0,0,0,36,0,119,0,0,0,0,42,13,1,11,0,117,0,4,1,25,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,0,12,4,42,42,0,7,10,2,0,0,26,3,0,0,89,22,32,118,0,187,0,0,28,0,0,18,0,0,4,15,0,2,0,0,41,2,0,14,0,3,193,0,0,22,0,1,4,0,5,59,17,0,3,0,0,0,0,0,0,0,26,0,0
